id,SkillName,categorytier1,categorytier2,categorytier3,ParentSkillMapping,categorytier5,type
660,Decision-Making Assessment,Corporate,HR,Recruitment,Candidate Assessment,Skill,Other
661,Analytical Skills Assessment,Corporate,HR,Recruitment,Candidate Assessment,Skill,Other
662,Adaptability and Flexibility Assessment,Corporate,HR,Recruitment,Candidate Assessment,Skill,Other
663,Interpersonal Skills Assessment,Corporate,HR,Recruitment,Candidate Assessment,Skill,Other
664,Integrity and Ethics Assessment,Corporate,HR,Recruitment,Candidate Assessment,Skill,Other
665,Cultural Fit Assessment,Corporate,HR,Recruitment,Candidate Assessment,Skill,Other
666,Motivation and Drive Assessment,Corporate,HR,Recruitment,Candidate Assessment,Skill,Other
667,Resilience and Stress Management Assessment,Corporate,HR,Recruitment,Candidate Assessment,Skill,Other
668,Attention to Detail Assessment,Corporate,HR,Recruitment,Candidate Assessment,Skill,Other
669,Organizational Skills Assessment,Corporate,HR,Recruitment,Candidate Assessment,Skill,Other
670,Time Management Assessment,Corporate,HR,Recruitment,Candidate Assessment,Skill,Other
671,Creativity and Innovation Assessment,Corporate,HR,Recruitment,Candidate Assessment,Skill,Other
672,Conflict Resolution Skills Assessment,Corporate,HR,Recruitment,Candidate Assessment,Skill,Other
673,Customer Service Skills Assessment,Corporate,HR,Recruitment,Candidate Assessment,Skill,Other
674,Negotiation Skills Assessment,Corporate,HR,Recruitment,Candidate Assessment,Skill,Other
675,Presentation Skills Assessment,Corporate,HR,Recruitment,Candidate Assessment,Skill,Other
676,Sales Skills Assessment,Corporate,HR,Recruitment,Candidate Assessment,Skill,Other
677,Project Management Skills Assessment,Corporate,HR,Recruitment,Candidate Assessment,Skill,Other
678,Technical Knowledge Assessment,Corporate,HR,Recruitment,Candidate Assessment,Skill,Other
679,Data Analysis and Interpretation Assessment,Corporate,HR,Recruitment,Candidate Assessment,Skill,Other
680,Problem Identification and Solution Assessment,Corporate,HR,Recruitment,Candidate Assessment,Skill,Other
681,Self-Awareness and Self-Reflection Assessment,Corporate,HR,Recruitment,Candidate Assessment,Skill,Other
682,Career Motivation and Alignment Assessment,Corporate,HR,Recruitment,Candidate Assessment,Skill,Other
683,Influence and Persuasion Skills Assessment,Corporate,HR,Recruitment,Candidate Assessment,Skill,Other
684,Conflict Management Skills Assessment,Corporate,HR,Recruitment,Candidate Assessment,Skill,Other
685,Customer Relationship Management Assessment,Corporate,HR,Recruitment,Candidate Assessment,Skill,Other
686,Networking and Relationship Building Assessment,Corporate,HR,Recruitment,Candidate Assessment,Skill,Other
687,Strategic Thinking and Planning Assessment,Corporate,HR,Recruitment,Candidate Assessment,Skill,Other
688,Cross-Cultural Competence Assessment,Corporate,HR,Recruitment,Candidate Assessment,Skill,Other
689,Motivational Fit Assessment,Corporate,HR,Recruitment,Candidate Assessment,Skill,Other
690,Change Management Skills Assessment,Corporate,HR,Recruitment,Candidate Assessment,Skill,Other
691,Resilience and Adaptability Assessment,Corporate,HR,Recruitment,Candidate Assessment,Skill,Other
692,Collaboration and Teamwork Assessment,Corporate,HR,Recruitment,Candidate Assessment,Skill,Other
693,Listening and Empathy Assessment,Corporate,HR,Recruitment,Candidate Assessment,Skill,Other
694,Resourcefulness and Initiative Assessment,Corporate,HR,Recruitment,Candidate Assessment,Skill,Other
695,Interviewing and Interrogation Skills Assessment,Corporate,HR,Recruitment,Candidate Assessment,Skill,Other
696,Candidate Evaluation and Scoring,Corporate,HR,Recruitment,Candidate Assessment,Skill,Other
697,Objective Decision Making,Corporate,HR,Recruitment,Candidate Assessment,Skill,Other
698,Feedback and Assessment Delivery,Corporate,HR,Recruitment,Candidate Assessment,Skill,Other
699,Candidate Ranking and Comparison,Corporate,HR,Recruitment,Candidate Assessment,Skill,Other
700,Utilizing Assessment Tools and Technologies,Corporate,HR,Recruitment,Candidate Assessment,Skill,Other
701,Organizational Orientation,Corporate,HR,Generalist HR,Employee Onboarding,Skill,Other
702,Effective Communication,Corporate,HR,Generalist HR,Employee Onboarding,Skill,Other
703,Onboarding Program Development,Corporate,HR,Generalist HR,Employee Onboarding,Skill,Other
704,Documentation and Paperwork Management,Corporate,HR,Generalist HR,Employee Onboarding,Skill,Other
705,Welcome and Orientation Presentations,Corporate,HR,Generalist HR,Employee Onboarding,Skill,Other
706,Company Policies and Procedures,Corporate,HR,Generalist HR,Employee Onboarding,Skill,Other
707,Setting Performance Expectations,Corporate,HR,Generalist HR,Employee Onboarding,Skill,Other
708,Goal Setting and Performance Planning,Corporate,HR,Generalist HR,Employee Onboarding,Skill,Other
709,Building Relationships with New Employees,Corporate,HR,Generalist HR,Employee Onboarding,Skill,Other
710,Training and Development Coordination,Corporate,HR,Generalist HR,Employee Onboarding,Skill,Other
711,Technology and Systems Familiarization,Corporate,HR,Generalist HR,Employee Onboarding,Skill,Other
712,Mentoring and Buddy Programs,Corporate,HR,Generalist HR,Employee Onboarding,Skill,Other
713,Cultural Assimilation and Integration,Corporate,HR,Generalist HR,Employee Onboarding,Skill,Other
714,Team Integration and Collaboration,Corporate,HR,Generalist HR,Employee Onboarding,Skill,Other
715,Feedback and Performance Coaching,Corporate,HR,Generalist HR,Employee Onboarding,Skill,Other
716,Providing Resources and Tools for Success,Corporate,HR,Generalist HR,Employee Onboarding,Skill,Other
717,New Hire Paperwork and Compliance,Corporate,HR,Generalist HR,Employee Onboarding,Skill,Other
718,Workplace Safety and Security Briefing,Corporate,HR,Generalist HR,Employee Onboarding,Skill,Other
719,Benefits and Compensation Explanation,Corporate,HR,Generalist HR,Employee Onboarding,Skill,Other
720,Facilitating Social Integration,Corporate,HR,Generalist HR,Employee Onboarding,Skill,Other
721,Managing Expectations and Resolving Concerns,Corporate,HR,Generalist HR,Employee Onboarding,Skill,Other
722,Assigning and Tracking Onboarding Tasks,Corporate,HR,Generalist HR,Employee Onboarding,Skill,Other
723,Introducing Organizational Values and Mission,Corporate,HR,Generalist HR,Employee Onboarding,Skill,Other
724,Assigning Onboarding Mentors or Coaches,Corporate,HR,Generalist HR,Employee Onboarding,Skill,Other
725,Encouraging Networking and Relationship Building,Corporate,HR,Generalist HR,Employee Onboarding,Skill,Other
726,Creating a Positive Onboarding Experience,Corporate,HR,Generalist HR,Employee Onboarding,Skill,Other
727,Career Development and Growth Planning,Corporate,HR,Generalist HR,Employee Onboarding,Skill,Other
728,Onboarding Program Evaluation and Improvement,Corporate,HR,Generalist HR,Employee Onboarding,Skill,Other
729,Onboarding Metrics and Analytics,Corporate,HR,Generalist HR,Employee Onboarding,Skill,Other
730,Orientation to Department and Team,Corporate,HR,Generalist HR,Employee Onboarding,Skill,Other
731,Supporting New Employee's Personal Development,Corporate,HR,Generalist HR,Employee Onboarding,Skill,Other
732,Managing Orientation Events and Activities,Corporate,HR,Generalist HR,Employee Onboarding,Skill,Other
733,Work-Life Balance Introduction,Corporate,HR,Generalist HR,Employee Onboarding,Skill,Other
734,Conflict Resolution Skills,Corporate,HR,Generalist HR,Employee Onboarding,Skill,Other
735,Employee Engagement Strategies,Corporate,HR,Generalist HR,Employee Onboarding,Skill,Other
736,Promoting Diversity and Inclusion in Onboarding,Corporate,HR,Generalist HR,Employee Onboarding,Skill,Other
737,Onboarding Compliance with Legal Requirements,Corporate,HR,Generalist HR,Employee Onboarding,Skill,Other
738,Orientation to Organizational Structure,Corporate,HR,Generalist HR,Employee Onboarding,Skill,Other
739,Culture and Values Training,Corporate,HR,Generalist HR,Employee Onboarding,Skill,Other
740,Cross-Functional Awareness and Collaboration,Corporate,HR,Generalist HR,Employee Onboarding,Skill,Other
741,Creating a Welcoming and Inclusive Environment,Corporate,HR,Generalist HR,Employee Onboarding,Skill,Other
742,Onboarding Technology and Tools,Corporate,HR,Generalist HR,Employee Onboarding,Skill,Other
743,Developing Onboarding Guides and Resources,Corporate,HR,Generalist HR,Employee Onboarding,Skill,Other
744,Change Management during Onboarding,Corporate,HR,Generalist HR,Employee Onboarding,Skill,Other
745,Introducing Employee Recognition Programs,Corporate,HR,Generalist HR,Employee Onboarding,Skill,Other
746,Managing Onboarding Budget and Resources,Corporate,HR,Generalist HR,Employee Onboarding,Skill,Other
747,Effective Communication,Corporate,HR,Generalist HR,Employee Engagement,Skill,Other
748,Active Listening,Corporate,HR,Generalist HR,Employee Engagement,Skill,Other
749,Building Trust and Rapport,Corporate,HR,Generalist HR,Employee Engagement,Skill,Other
750,Empathy and Emotional Intelligence,Corporate,HR,Generalist HR,Employee Engagement,Skill,Other
751,Recognition and Appreciation,Corporate,HR,Generalist HR,Employee Engagement,Skill,Other
752,Providing Constructive Feedback,Corporate,HR,Generalist HR,Employee Engagement,Skill,Other
753,Goal Setting and Alignment,Corporate,HR,Generalist HR,Employee Engagement,Skill,Other
754,Clear and Transparent Communication,Corporate,HR,Generalist HR,Employee Engagement,Skill,Other
755,Creating a Positive Work Environment,Corporate,HR,Generalist HR,Employee Engagement,Skill,Other
756,Building Relationships and Connections,Corporate,HR,Generalist HR,Employee Engagement,Skill,Other
757,Facilitating Team Collaboration,Corporate,HR,Generalist HR,Employee Engagement,Skill,Other
758,Conflict Resolution and Mediation,Corporate,HR,Generalist HR,Employee Engagement,Skill,Other
759,Employee Development and Growth Opportunities,Corporate,HR,Generalist HR,Employee Engagement,Skill,Other
760,Promoting Work-Life Balance,Corporate,HR,Generalist HR,Employee Engagement,Skill,Other
761,Encouraging Autonomy and Empowerment,Corporate,HR,Generalist HR,Employee Engagement,Skill,Other
762,Supporting Workforce Well-being,Corporate,HR,Generalist HR,Employee Engagement,Skill,Other
763,Promoting Diversity and Inclusion,Corporate,HR,Generalist HR,Employee Engagement,Skill,Other
764,Employee Recognition Programs,Corporate,HR,Generalist HR,Employee Engagement,Skill,Other
765,Promoting a Culture of Continuous Learning,Corporate,HR,Generalist HR,Employee Engagement,Skill,Other
766,Fostering a Sense of Belonging,Corporate,HR,Generalist HR,Employee Engagement,Skill,Other
767,Promoting a Healthy Feedback Culture,Corporate,HR,Generalist HR,Employee Engagement,Skill,Other
768,Encouraging Innovation and Creativity,Corporate,HR,Generalist HR,Employee Engagement,Skill,Other
769,Promoting Career Development Opportunities,Corporate,HR,Generalist HR,Employee Engagement,Skill,Other
770,Employee Satisfaction and Engagement Surveys,Corporate,HR,Generalist HR,Employee Engagement,Skill,Other
771,Change Management and Adaptability,Corporate,HR,Generalist HR,Employee Engagement,Skill,Other
772,Building and Supporting Employee Resource Groups,Corporate,HR,Generalist HR,Employee Engagement,Skill,Other
773,Promoting Employee Health and Wellness,Corporate,HR,Generalist HR,Employee Engagement,Skill,Other
774,Creating Opportunities for Employee Voice and Input,Corporate,HR,Generalist HR,Employee Engagement,Skill,Other
775,Supporting Workforce Diversity and Equal Opportunities,Corporate,HR,Generalist HR,Employee Engagement,Skill,Other
776,Promoting Employee Work-Life Integration,Corporate,HR,Generalist HR,Employee Engagement,Skill,Other
777,Promoting Team Building Activities and Events,Corporate,HR,Generalist HR,Employee Engagement,Skill,Other
778,Promoting Collaboration and Knowledge Sharing,Corporate,HR,Generalist HR,Employee Engagement,Skill,Other
779,Encouraging Personal and Professional Growth,Corporate,HR,Generalist HR,Employee Engagement,Skill,Other
780,Celebrating Milestones and Achievements,Corporate,HR,Generalist HR,Employee Engagement,Skill,Other
781,Promoting a Positive Organizational Culture,Corporate,HR,Generalist HR,Employee Engagement,Skill,Other
782,Supporting Employee Flexibility and Work Arrangements,Corporate,HR,Generalist HR,Employee Engagement,Skill,Other
783,Promoting Effective Work-Life Balance Strategies,Corporate,HR,Generalist HR,Employee Engagement,Skill,Other
784,Creating Opportunities for Employee Socialization,Corporate,HR,Generalist HR,Employee Engagement,Skill,Other
785,Promoting Employee Well-being and Work Satisfaction,Corporate,HR,Generalist HR,Employee Engagement,Skill,Other
786,Promoting Workforce Engagement and Ownership,Corporate,HR,Generalist HR,Employee Engagement,Skill,Other
787,Supporting Employee Skills Development,Corporate,HR,Generalist HR,Employee Engagement,Skill,Other
788,Promoting Workforce Motivation and Job Satisfaction,Corporate,HR,Generalist HR,Employee Engagement,Skill,Other
789,Encouraging a Sense of Purpose and Meaning at Work,Corporate,HR,Generalist HR,Employee Engagement,Skill,Other
790,Providing Opportunities for Employee Feedback and Input,Corporate,HR,Generalist HR,Employee Engagement,Skill,Other
791,Building and Maintaining Positive Manager-Employee Relationships,Corporate,HR,Generalist HR,Employee Engagement,Skill,Other
792,Goal Setting and Alignment,Corporate,HR,Generalist HR,Employee Performance Management,Skill,Other
793,Performance Evaluation and Assessment,Corporate,HR,Generalist HR,Employee Performance Management,Skill,Other
794,Providing Constructive Feedback,Corporate,HR,Generalist HR,Employee Performance Management,Skill,Other
795,Performance Coaching and Development,Corporate,HR,Generalist HR,Employee Performance Management,Skill,Other
796,Performance Improvement Plans,Corporate,HR,Generalist HR,Employee Performance Management,Skill,Other
797,Setting Performance Expectations,Corporate,HR,Generalist HR,Employee Performance Management,Skill,Other
798,Performance Measurement and Metrics,Corporate,HR,Generalist HR,Employee Performance Management,Skill,Other
799,Objective and Fair Performance Appraisal,Corporate,HR,Generalist HR,Employee Performance Management,Skill,Other
800,Effective Communication,Corporate,HR,Generalist HR,Employee Performance Management,Skill,Other
801,Performance Recognition and Rewards,Corporate,HR,Generalist HR,Employee Performance Management,Skill,Other
802,Performance Monitoring and Tracking,Corporate,HR,Generalist HR,Employee Performance Management,Skill,Other
803,Identifying Performance Gaps and Areas for Improvement,Corporate,HR,Generalist HR,Employee Performance Management,Skill,Other
804,Performance Documentation and Record-Keeping,Corporate,HR,Generalist HR,Employee Performance Management,Skill,Other
805,Performance Calibration and Rating Consistency,Corporate,HR,Generalist HR,Employee Performance Management,Skill,Other
806,Managing Performance Reviews,Corporate,HR,Generalist HR,Employee Performance Management,Skill,Other
807,Performance Conversations and Dialogues,Corporate,HR,Generalist HR,Employee Performance Management,Skill,Other
808,Performance Goal Setting and Planning,Corporate,HR,Generalist HR,Employee Performance Management,Skill,Other
809,Performance Data Analysis and Interpretation,Corporate,HR,Generalist HR,Employee Performance Management,Skill,Other
810,Managing Performance Improvement Processes,Corporate,HR,Generalist HR,Employee Performance Management,Skill,Other
811,Conflict Resolution Skills,Corporate,HR,Generalist HR,Employee Performance Management,Skill,Other
812,Goal Alignment with Organizational Objectives,Corporate,HR,Generalist HR,Employee Performance Management,Skill,Other
813,Performance Feedback and Feedforward,Corporate,HR,Generalist HR,Employee Performance Management,Skill,Other
814,Performance Target Setting and Monitoring,Corporate,HR,Generalist HR,Employee Performance Management,Skill,Other
815,Performance Improvement Strategies,Corporate,HR,Generalist HR,Employee Performance Management,Skill,Other
816,Performance-based Incentive Programs,Corporate,HR,Generalist HR,Employee Performance Management,Skill,Other
817,Employee Engagement in Performance Management,Corporate,HR,Generalist HR,Employee Performance Management,Skill,Other
818,Performance Communication and Transparency,Corporate,HR,Generalist HR,Employee Performance Management,Skill,Other
819,Performance Alignment with Career Development,Corporate,HR,Generalist HR,Employee Performance Management,Skill,Other
820,Performance Measurement Tools and Systems,Corporate,HR,Generalist HR,Employee Performance Management,Skill,Other
821,Performance Assessment Training and Coaching,Corporate,HR,Generalist HR,Employee Performance Management,Skill,Other
822,Managing Performance Issues and Disciplinary Actions,Corporate,HR,Generalist HR,Employee Performance Management,Skill,Other
823,Performance Management Best Practices,Corporate,HR,Generalist HR,Employee Performance Management,Skill,Other
824,Performance Management Policy and Guidelines,Corporate,HR,Generalist HR,Employee Performance Management,Skill,Other
825,Performance Recognition Programs,Corporate,HR,Generalist HR,Employee Performance Management,Skill,Other
826,Performance Evaluation Calibration,Corporate,HR,Generalist HR,Employee Performance Management,Skill,Other
827,Performance-based Succession Planning,Corporate,HR,Generalist HR,Employee Performance Management,Skill,Other
828,Performance Management Technology and Software,Corporate,HR,Generalist HR,Employee Performance Management,Skill,Other
829,Performance Management Cycle and Processes,Corporate,HR,Generalist HR,Employee Performance Management,Skill,Other
830,Managing Performance Expectations,Corporate,HR,Generalist HR,Employee Performance Management,Skill,Other
831,Managing Performance Challenges and Resistance,Corporate,HR,Generalist HR,Employee Performance Management,Skill,Other
832,Performance Analysis and Evaluation Techniques,Corporate,HR,Generalist HR,Employee Performance Management,Skill,Other
833,Performance Management Reporting and Analytics,Corporate,HR,Generalist HR,Employee Performance Management,Skill,Other
834,Performance Management Training and Development,Corporate,HR,Generalist HR,Employee Performance Management,Skill,Other
835,Managing Employee Performance Records,Corporate,HR,Generalist HR,Employee Performance Management,Skill,Other
836,Performance Alignment with Organizational Values,Corporate,HR,Generalist HR,Employee Performance Management,Skill,Other
837,Managing Performance Metrics and Key Performance Indicators (KPIs),Corporate,HR,Generalist HR,Employee Performance Management,Skill,Other
838,Performance Management Alignment with Compensation and Rewards,Corporate,HR,Generalist HR,Employee Performance Management,Skill,Other
839,Compensation Strategy Development,Corporate,HR,Compensation and Benefits,Compensation Management,Skill,Other
840,Job Analysis and Evaluation,Corporate,HR,Compensation and Benefits,Compensation Management,Skill,Other
841,Market Pricing and Benchmarking,Corporate,HR,Compensation and Benefits,Compensation Management,Skill,Other
842,Salary Structure Design,Corporate,HR,Compensation and Benefits,Compensation Management,Skill,Other
843,Payroll Management,Corporate,HR,Compensation and Benefits,Compensation Management,Skill,Other
844,Incentive and Bonus Program Design,Corporate,HR,Compensation and Benefits,Compensation Management,Skill,Other
845,Total Rewards Management,Corporate,HR,Compensation and Benefits,Compensation Management,Skill,Other
846,Benefits Administration,Corporate,HR,Compensation and Benefits,Compensation Management,Skill,Other
847,Compensation Compliance and Regulations,Corporate,HR,Compensation and Benefits,Compensation Management,Skill,Other
848,Compensation Surveys and Data Analysis,Corporate,HR,Compensation and Benefits,Compensation Management,Skill,Other
849,Performance-Based Pay Systems,Corporate,HR,Compensation and Benefits,Compensation Management,Skill,Other
850,Salary Negotiation and Offer Management,Corporate,HR,Compensation and Benefits,Compensation Management,Skill,Other
851,Variable Pay Plan Design,Corporate,HR,Compensation and Benefits,Compensation Management,Skill,Other
852,Executive Compensation,Corporate,HR,Compensation and Benefits,Compensation Management,Skill,Other
853,Sales Compensation Planning,Corporate,HR,Compensation and Benefits,Compensation Management,Skill,Other
854,Compensation Budgeting and Forecasting,Corporate,HR,Compensation and Benefits,Compensation Management,Skill,Other
855,Compensation Policy Development,Corporate,HR,Compensation and Benefits,Compensation Management,Skill,Other
856,Compensation Plan Communication,Corporate,HR,Compensation and Benefits,Compensation Management,Skill,Other
857,Compensation Plan Administration,Corporate,HR,Compensation and Benefits,Compensation Management,Skill,Other
858,Equity and Stock-Based Compensation,Corporate,HR,Compensation and Benefits,Compensation Management,Skill,Other
859,Compensation Analysis and Reporting,Corporate,HR,Compensation and Benefits,Compensation Management,Skill,Other
860,Job Classification and Grading,Corporate,HR,Compensation and Benefits,Compensation Management,Skill,Other
861,Compensation Plan Evaluation and Review,Corporate,HR,Compensation and Benefits,Compensation Management,Skill,Other
862,Merit-Based Pay Systems,Corporate,HR,Compensation and Benefits,Compensation Management,Skill,Other
863,Cost of Living Adjustments (COLA),Corporate,HR,Compensation and Benefits,Compensation Management,Skill,Other
864,Compensation and Benefits Integration,Corporate,HR,Compensation and Benefits,Compensation Management,Skill,Other
865,Salary Negotiation Skills,Corporate,HR,Compensation and Benefits,Compensation Management,Skill,Other
866,Compensation Plan Documentation,Corporate,HR,Compensation and Benefits,Compensation Management,Skill,Other
867,Compensation Structure Review and Adjustment,Corporate,HR,Compensation and Benefits,Compensation Management,Skill,Other
868,Market Intelligence and Trend Analysis,Corporate,HR,Compensation and Benefits,Compensation Management,Skill,Other
869,Compensation Analytics and Metrics,Corporate,HR,Compensation and Benefits,Compensation Management,Skill,Other
870,Pay Equity Analysis,Corporate,HR,Compensation and Benefits,Compensation Management,Skill,Other
871,Compensation Committee Support,Corporate,HR,Compensation and Benefits,Compensation Management,Skill,Other
872,Compensation Package Customization,Corporate,HR,Compensation and Benefits,Compensation Management,Skill,Other
873,Employee Recognition and Rewards,Corporate,HR,Compensation and Benefits,Compensation Management,Skill,Other
874,Variable Pay Performance Metrics,Corporate,HR,Compensation and Benefits,Compensation Management,Skill,Other
875,Compensation Plan Benchmarking,Corporate,HR,Compensation and Benefits,Compensation Management,Skill,Other
876,Compensation Philosophy Development,Corporate,HR,Compensation and Benefits,Compensation Management,Skill,Other
877,Compensation System Auditing,Corporate,HR,Compensation and Benefits,Compensation Management,Skill,Other
878,Compensation Plan Compliance,Corporate,HR,Compensation and Benefits,Compensation Management,Skill,Other
879,Compensation Plan Effectiveness Evaluation,Corporate,HR,Compensation and Benefits,Compensation Management,Skill,Other
880,Job Offer Negotiation Skills,Corporate,HR,Compensation and Benefits,Compensation Management,Skill,Other
881,Compensation Plan Training and Communication,Corporate,HR,Compensation and Benefits,Compensation Management,Skill,Other
882,Job Pricing and Salary Range Determination,Corporate,HR,Compensation and Benefits,Compensation Management,Skill,Other
883,Compensation Planning Software Proficiency,Corporate,HR,Compensation and Benefits,Compensation Management,Skill,Other
884,Global Compensation Management,Corporate,HR,Compensation and Benefits,Compensation Management,Skill,Other
885,Compensation Strategy Alignment with Business Goals,Corporate,HR,Compensation and Benefits,Compensation Management,Skill,Other
886,Job Market Research and Analysis,Corporate,HR,Compensation and Benefits,Compensation Management,Skill,Other
887,Salary.com,Corporate,HR,Compensation and Benefits,Compensation Benchmarking,System or Service,Other
888,PayScale,Corporate,HR,Compensation and Benefits,Compensation Benchmarking,System or Service,Other
889,Radford (Aon),Corporate,HR,Compensation and Benefits,Compensation Benchmarking,System or Service,Other
890,Mercer,Corporate,HR,Compensation and Benefits,Compensation Benchmarking,System or Service,Other
891,Willis Towers Watson,Corporate,HR,Compensation and Benefits,Compensation Benchmarking,System or Service,Other
892,Birches Group,Corporate,HR,Compensation and Benefits,Compensation Benchmarking,System or Service,Other
893,Aon Hewitt,Corporate,HR,Compensation and Benefits,Compensation Benchmarking,System or Service,Other
894,ERI Economic Research Institute,Corporate,HR,Compensation and Benefits,Compensation Benchmarking,System or Service,Other
895,Compensation.BLR.com,Corporate,HR,Compensation and Benefits,Compensation Benchmarking,System or Service,Other
896,WorldatWork,Corporate,HR,Compensation and Benefits,Compensation Benchmarking,System or Service,Other
897,Hay Group,Corporate,HR,Compensation and Benefits,Compensation Benchmarking,System or Service,Other
898,Culpepper Compensation Surveys,Corporate,HR,Compensation and Benefits,Compensation Benchmarking,System or Service,Other
899,Gartner (formerly CEB),Corporate,HR,Compensation and Benefits,Compensation Benchmarking,System or Service,Other
900,Kenexa (IBM Smarter Workforce),Corporate,HR,Compensation and Benefits,Compensation Benchmarking,System or Service,Other
901,Aon Radford,Corporate,HR,Compensation and Benefits,Compensation Benchmarking,System or Service,Other
902,ECA International,Corporate,HR,Compensation and Benefits,Compensation Benchmarking,System or Service,Other
903,Compdata Surveys & Consulting,Corporate,HR,Compensation and Benefits,Compensation Benchmarking,System or Service,Other
904,GulfTalent,Corporate,HR,Compensation and Benefits,Compensation Benchmarking,System or Service,Other
905,Compensation Force,Corporate,HR,Compensation and Benefits,Compensation Benchmarking,System or Service,Other
906,SurveyMonkey Apply,Corporate,HR,Compensation and Benefits,Compensation Benchmarking,System or Service,Other
907,PeopleTicker,Corporate,HR,Compensation and Benefits,Compensation Benchmarking,System or Service,Other
908,CompensationXL,Corporate,HR,Compensation and Benefits,Compensation Benchmarking,System or Service,Other
909,SalaryExpert,Corporate,HR,Compensation and Benefits,Compensation Benchmarking,System or Service,Other
910,Tower Watson Data Services,Corporate,HR,Compensation and Benefits,Compensation Benchmarking,System or Service,Other
911,Painting,,General,,,Hobbie,Other
912,Drawing,,General,,,Hobbie,Other
913,Sketching,,General,,,Hobbie,Other
914,Sculpting,,General,,,Hobbie,Other
915,Woodworking,,General,,,Hobbie,Other
916,Knitting,,General,,,Hobbie,Other
917,Crocheting,,General,,,Hobbie,Other
918,Quilting,,General,,,Hobbie,Other
919,Sewing,,General,,,Hobbie,Other
920,Embroidery,,General,,,Hobbie,Other
921,Cross-stitching,,General,,,Hobbie,Other
922,Weaving,,General,,,Hobbie,Other
923,Basket weaving,,General,,,Hobbie,Other
924,Pottery,,General,,,Hobbie,Other
925,Ceramics,,General,,,Hobbie,Other
926,Glass blowing,,General,,,Hobbie,Other
927,Metalworking,,General,,,Hobbie,Other
928,Jewelry making,,General,,,Hobbie,Other
929,Beading,,General,,,Hobbie,Other
930,Leatherworking,,General,,,Hobbie,Other
931,Calligraphy,,General,,,Hobbie,Other
932,Stamp collecting,,General,,,Hobbie,Other
933,Coin collecting,,General,,,Hobbie,Other
934,Antiquing,,General,,,Hobbie,Other
935,Restoring furniture,,General,,,Hobbie,Other
936,Upcycling,,General,,,Hobbie,Other
937,Repurposing,,General,,,Hobbie,Other
938,DIY projects,,General,,,Hobbie,Other
939,Home improvement,,General,,,Hobbie,Other
940,Gardening,,General,,,Hobbie,Other
941,Bonsai cultivation,,General,,,Hobbie,Other
942,Flower arranging,,General,,,Hobbie,Other
943,Bird watching,,General,,,Hobbie,Other
944,Hiking,,General,,,Hobbie,Other
945,Camping,,General,,,Hobbie,Other
946,Fishing,,General,,,Hobbie,Other
947,Hunting,,General,,,Hobbie,Other
948,Rock climbing,,General,,,Hobbie,Other
949,Bouldering,,General,,,Hobbie,Other
950,Mountaineering,,General,,,Hobbie,Other
951,Trail running,,General,,,Hobbie,Other
952,Orienteering,,General,,,Hobbie,Other
953,Geocaching,,General,,,Hobbie,Other
954,Stargazing,,General,,,Hobbie,Other
955,Astronomy,,General,,,Hobbie,Other
956,Meteorology,,General,,,Hobbie,Other
957,Weather observation,,General,,,Hobbie,Other
958,Volunteering,,General,,,Hobbie,Other
959,Community service,,General,,,Hobbie,Other
960,Reading,,General,,,Hobbie,Other
961,Writing,,General,,,Hobbie,Other
962,Poetry,,General,,,Hobbie,Other
963,Blogging,,General,,,Hobbie,Other
964,Journaling,,General,,,Hobbie,Other
965,Storytelling,,General,,,Hobbie,Other
966,Screenwriting,,General,,,Hobbie,Other
967,Playwriting,,General,,,Hobbie,Other
968,Comic book creation,,General,,,Hobbie,Other
969,Animation,,General,,,Hobbie,Other
970,Video editing,,General,,,Hobbie,Other
971,Film making,,General,,,Hobbie,Other
972,Photography,,General,,,Hobbie,Other
973,Digital art,,General,,,Hobbie,Other
974,Graphic design,,General,,,Hobbie,Other
975,Web design,,General,,,Hobbie,Other
976,Coding,,General,,,Hobbie,Other
977,App development,,General,,,Hobbie,Other
978,Video game development,,General,,,Hobbie,Other
979,Playing video games,,General,,,Hobbie,Other
980,Board games,,General,,,Hobbie,Other
981,Card games,,General,,,Hobbie,Other
982,Role-playing games,,General,,,Hobbie,Other
983,Puzzle solving,,General,,,Hobbie,Other
984,Crossword puzzles,,General,,,Hobbie,Other
985,Sudoku,,General,,,Hobbie,Other
986,Chess,,General,,,Hobbie,Other
987,Checkers,,General,,,Hobbie,Other
988,Backgammon,,General,,,Hobbie,Other
989,Mahjong,,General,,,Hobbie,Other
990,Origami,,General,,,Hobbie,Other
991,Scrapbooking,,General,,,Hobbie,Other
992,Stamp crafting,,General,,,Hobbie,Other
993,Greeting card making,,General,,,Hobbie,Other
994,Rubber stamping,,General,,,Hobbie,Other
995,Soap making,,General,,,Hobbie,Other
996,Candle making,,General,,,Hobbie,Other
997,Perfume making,,General,,,Hobbie,Other
998,Essential oil blending,,General,,,Hobbie,Other
999,Brewing beer,,General,,,Hobbie,Other
1000,Wine making,,General,,,Hobbie,Other
1001,Distilling spirits,,General,,,Hobbie,Other
1002,Cooking,,General,,,Hobbie,Other
1003,Baking,,General,,,Hobbie,Other
1004,Cake decorating,,General,,,Hobbie,Other
1005,Candy making,,General,,,Hobbie,Other
1006,Jam making,,General,,,Hobbie,Other
1007,Cheese making,,General,,,Hobbie,Other
1008,Fermenting,,General,,,Hobbie,Other
